㐆,⿻尸？,尸
㐌,⿱亻也,亻
㐬,⿱亠川,川
㐭,⿱亠回,亠
㐱,⿱人彡,彡
㒸,⿱丷豕,豕
㒼,⿱廿？,巾
㓞,⿰丰刀,刀
㔾,⿱？㔾,㔾
㕡,⿰谷又,谷
㝵,⿱日寸,寸
㠯,⿻己？,己
㡭,⿺纟？,纟
㢆,⿸广里,广
㢟,⿰廴止,廴
㣎,⿱白彡,白
㥯,⿱？心,心
㧜,⿰扌匝,扌
㬎,⿱日灬,日
㲋,⿱⺈比,比
㳄,⿰氵欠,氵
㼌,⿰瓜瓜,瓜
㿽,⿱兮皿,皿
䍃,⿱爫缶,缶
䕭,⿱艹燅,艹
䙴,⿱覀㔾,覀
䜌,⿲糹言糹,糹
䠀,⿰足尚,足
䧹,⿸广倠,隹
䰾,⿰魚巴,魚
䴉,⿰睘鳥,鳥
一,⿱一？,一
丁,⿱一？,一
丂,⿱一？,一
七,⿱一乚,一
丄,⿱丨一,一
万,⿱一？,一
丈,⿱一又,一
三,⿱一二,一
上,⿱⺊一,一
下,⿱一卜,一
丌,⿱一？,一
不,⿱一？,一
与,口,一
丏,⿱一？,一
丐,⿱一？,一
丑,口,一
专,口,一
且,⿱月一,一
丕,⿱不一,一
世,口,一
丘,⿱斤一,一
丙,⿱一内,一
业,⿱？一,一
丛,⿱从一,一
东,⿱？小,一
丝,⿱？一,一
丞,⿱氶一,一
丟,⿱一厶,一
丢,⿱一厶,一
两,⿱一？,一
严,⿱一？,一
並,⿱丷亚,一
丧,⿱？衣,十
丨,⿱？丨,丨
丩,⿰？丨,丨
个,⿱人丨,丨
丫,⿱丷丨,丨
中,口,丨
丰,口,丨
串,口,丨
临,⿰刂？,丨
丵,⿱业干,业
丸,口,九
丹,口,丶
为,口,丶
主,⿱丶王,丶
丽,⿱一？,一
举,口,兴
乃,口,丿
久,口,丿
么,口,丿
义,口,丿
之,口,丿
乌,口,丿
乍,口,丿
乎,口,丿
乏,⿱丿之,丿
乐,⿱丿？,丿
乑,⿱丿？,丿
乒,口,丿
乓,口,丿
乔,⿱丿？,大
乖,口,丿
乘,口,丿
乙,口,乙
乜,口,乚
九,口,乙
乞,口,乙
也,口,乚
习,口,冫
乡,口幺,幺
书,口,丨
乩,⿰占乚,乚
买,口,大
乱,⿰舌乚,乚
乳,⿰孚乚,乚
乶,⿱甫乙,乙
乹,⿰龺乚,乚
乾,⿰龺乞,乙
乿,⿰？乚,乚
亂,⿰？乚,乚
了,口,亅
予,口予,亅
争,⿱𠂊亅,亅
事,⿱一亅,亅
二,⿱一一,二
亍,⿱一丁,二
于,⿱一？,二
亏,⿱一？,二
云,⿱一厶,二
互,⿱一？,二
亓,⿱一？,二
五,⿱一？,二
井,口,二
亘,⿱一旦,二
亙,⿱一？,二
亚,⿱一业,一
些,口,二
亞,⿱一？,二
亟,⿱？一,一
亠,⿱亠？,亠
亡,⿱亠？,亠
亢,⿱亠几,亠
交,⿱亠？,亠
亥,⿱亠？,亠
亦,⿱亠？,亠
产,⿱亠厂,亠
亨,⿱亠了,亠
亩,⿱亠田,亠
享,⿱亠子,亠
京,⿱亠小,亠
亭,⿱亠丁,亠
亮,⿱亠几,亠
亲,⿱立小,立
亳,⿱亠乇,亠
亵,⿱亠衣,亠
亶,⿱亠旦,亠
亹,⿱亠舋,亠
人,口,人
亼,⿱人一,人
亾,⿺？人,人
亿,⿰亻乙,亻
什,⿰亻十,亻
仁,⿰亻二,亻
仂,⿰亻力,亻
仃,⿰亻丁,亻
仄,⿸厂人,人
仅,⿰亻又,亻
仆,⿰亻卜,亻
仇,⿰亻九,亻
仉,⿰亻几,亻
今,⿱人？,人
介,⿱人？,人
仌,⿱人人,人
仍,⿰亻乃,亻
从,口,人
仑,⿱人匕,人
仓,⿱人㔾,人
仔,⿰亻子,亻
仕,⿰亻士,亻
他,⿰亻也,亻
仗,⿰亻丈,亻
付,⿰亻寸,亻
仙,⿰亻山,亻
仝,⿱人工,人
仞,⿰亻刃,亻
仟,⿰亻千,亻
仡,⿰亻乞,亻
代,⿰亻弋,亻
令,⿱人？,人
以,口,人
仨,⿰亻三,亻
仪,⿰亻义,亻
仫,⿰亻么,亻
们,⿰亻门,亻
仰,⿰亻卬,亻
仲,⿰亻中,亻
仳,⿰亻比,亻
仵,⿰亻午,亻
件,⿰亻牛,亻
价,⿰亻介,亻
任,⿰亻壬,亻
份,⿰亻分,亻
仿,⿰亻方,亻
企,⿱人止,人
伄,⿰亻弔,亻
伉,⿰亻亢,亻
伊,⿰亻尹,亻
伍,⿰亻五,亻
伎,⿰亻支,亻
伏,⿰亻犬,亻
伐,⿰亻戈,亻
休,⿰亻木,亻
伕,⿰亻夫,亻
众,品人,人
优,⿰亻尤,亻
伙,⿰亻火,亻
会,⿱人云,人
伛,⿰亻区,亻
伞,⿱人？,人
伟,⿰亻韦,亻
传,⿰亻专,亻
伢,⿰亻牙,亻
伤,⿰亻？,亻
伥,⿰亻长,亻
伦,⿰亻仑,亻
伧,⿰亻仓,亻
伪,⿰亻为,亻
伫,⿰亻？,亻
伯,⿰亻白,亻
估,⿰亻古,亻
伲,⿰亻尼,亻
伴,⿰亻半,亻
伶,⿰亻令,亻
伸,⿰亻申,亻
伺,⿰亻司,亻
似,⿰亻以,亻
伽,⿰亻加,亻
伾,⿰亻丕,亻
佃,⿰亻田,亻
但,⿰亻旦,亻
佇,⿰亻宁,亻
佈,⿰亻布,亻
佉,⿰亻去,亻
位,⿰亻立,亻
低,⿰亻氐,亻
住,⿰亻主,亻
佐,⿰亻左,亻
佑,⿰亻右,亻
体,⿰亻本,亻
佔,⿰亻占,亻
何,⿰亻可,亻
佗,⿰亻它,亻
佘,⿱人示,人
余,⿱人示,人
佚,⿰亻失,亻
佛,⿰亻弗,亻
作,⿰亻乍,亻
佝,⿰亻句,亻
佞,⿰亻？,亻
佟,⿰亻冬,亻
你,⿰亻尔,亻
佣,⿰亻用,亻
佤,⿰亻瓦,亻
佥,⿱人一,人
佧,⿰亻卡,亻
佩,⿰亻？,亻
佬,⿰亻老,亻
佯,⿰亻羊,亻
佰,⿰亻百,亻
佳,⿰亻圭,亻
佴,⿰亻耳,亻
併,⿰亻并,亻
佶,⿰亻吉,亻
佻,⿰亻兆,亻
佼,⿰亻交,亻
佽,⿰亻次,亻
佾,⿰亻？,亻
使,⿰亻吏,亻
侃,⿰亻？,亻
侄,⿰亻至,亻
來,口,人
侈,⿰亻多,亻
侉,⿰亻夸,亻
例,⿰亻列,亻
侌,⿱今云,人
侍,⿰亻寺,亻
侏,⿰亻朱,亻
侑,⿰亻有,亻
侔,⿰亻牟,亻
侖,⿱人？,人
侗,⿰亻同,亻
供,⿰亻共,亻
依,⿰亻衣,亻
侠,⿰亻夹,亻
侣,⿰亻吕,亻
侥,⿰亻尧,亻
侦,⿰亻贞,亻
侧,⿰亻则,亻
侨,⿰亻乔,亻
侩,⿰亻会,亻
侪,⿰亻齐,亻
侬,⿰亻农,亻
侮,⿰亻每,亻
侯,⿰亻矦,亻
侵,⿰亻？,亻
侶,⿰亻呂,亻
侷,⿰亻局,亻
便,⿰亻更,亻
係,⿰亻系,亻
促,⿰亻足,亻
俄,⿰亻我,亻
俅,⿰亻求,亻
俉,⿰亻吾,亻
俊,⿰亻夋,亻
